,tnv,distance,velocity,accelerate,week_date,date,hour in date,min in date,latitude,longitude,time,moving,active,time_difference,address,type,address_type,hall,nation,count
0,59,0.0,0.0,0.0,3,27:03:2013 ,11,1,43.7061282,-72.2832318,1364356898,False,0.0,,"18, North Park Street, Hanover, Grafton County, New Hampshire, 03755, United States",dormitory,building,,us,212.0
1,59,4.104167919111844,0.0034201399325932,2.850116610494336e-06,3,27:03:2013 ,20,41,43.7061867,-72.2832791,1364391698,False,0.0,34800.0,"18, North Park Street, Hanover, Grafton County, New Hampshire, 03755, United States",dormitory,building,,us,212.0
403,59,334.6726707712475,0.2788938923093729,0.0002324115769244,3,27:03:2013 ,21,1,43.7086249,-72.2844113,1364392898,True,1.0,1200.0,"Class of 1978 Life Sciences Center, 78, College Street, Hanover, Grafton County, New Hampshire, 03755, United States",university,building,Class of 1978 Life Sciences Center,us,2.0
414,59,9.223950707930294,0.0076866255899419,6.405521324951593e-06,3,27:03:2013 ,21,41,43.7087603,-72.2840227,1364395298,False,0.0,2400.0,"Class of 1978 Life Sciences Center, 78, College Street, Hanover, Grafton County, New Hampshire, 03755, United States",university,building,Class of 1978 Life Sciences Center,us,9.0
510,59,25.310942092447128,0.0219713038996936,1.9072312412928548e-05,3,27:03:2013 ,22,0,43.7089447,-72.2839446,1364396450,True,1.0,1152.0,"Life Sciences Greenhouse, 78, College Street, Hanover, Grafton County, New Hampshire, 03755, United States",house,place,Life Sciences Greenhouse,us,1.0
2,59,382.9886521672644,0.3068819328263336,0.0002458989846364,3,27:03:2013 ,22,21,43.7061545,-72.2832598,1364397698,True,1.0,1248.0,"18, North Park Street, Hanover, Grafton County, New Hampshire, 03755, United States",dormitory,building,,us,212.0
3,59,0.2470736204591954,0.0002167312460168,1.901151280849457e-07,4,28:03:2013 ,5,40,43.7061962,-72.2833031,1364424038,False,0.0,26340.0,"18, North Park Street, Hanover, Grafton County, New Hampshire, 03755, United States",dormitory,building,,us,212.0
252,59,64.04688891128164,0.0508308642153028,4.034195572643086e-05,4,28:03:2013 ,6,1,43.7066628,-72.2871859,1364425298,True,1.0,1260.0,"Dartmouth College, College Street, Hanover, Grafton County, New Hampshire, 03755, United States",university,amenity,Dartmouth College,us,33.0
253,59,1.3177227903989592,0.0010981023253324,9.150852711103884e-07,4,28:03:2013 ,7,21,43.706631,-72.287123,1364430098,False,0.0,4800.0,"Dartmouth College, College Street, Hanover, Grafton County, New Hampshire, 03755, United States",university,amenity,Dartmouth College,us,33.0
387,59,158.85370709830326,0.132378089248586,0.0001103150743738,4,28:03:2013 ,7,41,43.7077883,-72.2849409,1364431298,True,1.0,1200.0,"Anonymous Hall, 64, College Street, Hanover, Grafton County, New Hampshire, 03755, United States",university,building,Anonymous Hall,us,1.0
4,59,221.4044391905229,0.1845036993254357,0.0001537530827711,4,28:03:2013 ,8,1,43.7061753,-72.2832936,1364432498,True,1.0,1200.0,"18, North Park Street, Hanover, Grafton County, New Hampshire, 03755, United States",dormitory,building,,us,212.0
