date,home_time,recreational_activities,school_time,orthers,working,travel_time,date_in_week,cut_class,class_schedule,volunteer,location_names,level
01:04:2013,69600.0,10800.0,4800.0,0.0,0.0,0.0,0.0,1.0,10500.0,8.0,"Morton Hall,Hopkins Center for the Arts,Hopkins Center for the Arts,Morton Hall,Morton Hall,Hopkins Center for the Arts,Morton Hall,Morton Hall,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Anonymous Hall,Hopkins Center for the Arts,Hopkins Center for the Arts,Alumni Gymnasium",1.75
01:05:2013,84000.0,2400.0,0.0,0.0,0.0,0.0,2.0,1.0,3900.0,8.0,"Morton Hall,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Morton Hall,Morton Hall,Dartmouth College,Dartmouth College,Dartmouth College,Morton Hall,Morton Hall,Life Sciences Greenhouse,Life Sciences Greenhouse,Hopkins Center for the Arts,Dartmouth College,Morton Hall",1.2222222222222223
02:04:2013,72000.0,13200.0,0.0,0.0,0.0,0.0,1.0,1.0,6600.0,8.0,"Alumni Gymnasium,Life Sciences Greenhouse,Life Sciences Greenhouse,Alumni Gymnasium,Alumni Gymnasium,Alumni Gymnasium,Morton Hall,Morton Hall,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Morton Hall,Morton Hall",1.0
02:05:2013,79200.0,4858.0,0.0,3542.0,1200.0,0.0,3.0,1.0,6900.0,8.0,"Morton Hall,0,Life Sciences Greenhouse,Life Sciences Greenhouse,0,Alumni Gymnasium,Hopkins Center for the Arts,Hopkins Center for the Arts,Chi Heorot,Morton Hall,Morton Hall,Dartmouth College,Life Sciences Greenhouse",1.5
03:04:2013,66000.0,14400.0,7200.0,0.0,0.0,0.0,2.0,0.0,3900.0,8.0,"Dartmouth College,Dartmouth College,Alumni Gymnasium,Alumni Gymnasium,Alumni Gymnasium,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Morton Hall,Morton Hall,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Alumni Gymnasium,Alumni Gymnasium",1.0
03:05:2013,76802.0,4800.0,1198.0,0.0,0.0,1200.0,4.0,1.0,3000.0,8.0,"0,Dartmouth College,Dartmouth College,Brace Commons,McCulloch Hall,0,Morton Hall,Morton Hall",
04:04:2013,64800.0,13201.0,3600.0,0.0,1199.0,2400.0,3.0,1.0,6900.0,8.0,"Alumni Gymnasium,Life Sciences Greenhouse,Life Sciences Greenhouse,Alumni Gymnasium,Alumni Gymnasium,Alumni Gymnasium,Morton Hall,Morton Hall,Hopkins Center for the Arts,Hopkins Center for the Arts,Sigma Alpha Epsilon Fraternity,Dana Parking Lot,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Morton Hall,Morton Hall,Dartmouth College,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center",1.0
04:05:2013,100801.0,10799.0,1200.0,0.0,0.0,0.0,5.0,0.0,0.0,8.0,"Hopkins Center for the Arts,Hopkins Center for the Arts,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,0,Alumni Gymnasium,Alumni Gymnasium,Alumni Gymnasium,Morton Hall",
05:04:2013,334763.0,2533.0,3602.0,10468.0,0.0,1366.0,4.0,0.0,3000.0,8.0,"Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Morton Hall,Morton Hall,Alumni Gymnasium,0,Dartmouth College,Dartmouth College,Morton Hall,Morton Hall,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Dana Circle Parking Lot,Hopkins Center for the Arts,Morton Hall",1.0
05:05:2013,134093.0,0.0,2402.0,0.0,2400.0,1505.0,-1.0,0.0,0.0,8.0,"Morton Hall,Vail,Dartmouth College,Dartmouth College,Zahm Courtyard,Chi Heorot,0,Dartmouth College,Dartmouth College,Amarna,0,Dartmouth College,Dartmouth College,Morton Hall",3.0
