date,home_time,orthers,school_time,recreational_activities,working,travel_time,date_in_week,cut_class,class_schedule,volunteer
01:04:2013 ,55210.0,1200.0,10796.0,0.0,0.0,0.0,0,0.0,7800.0,33
01:05:2013 ,78002.0,0.0,8399.0,1199.0,0.0,0.0,2,0.0,7800.0,33
02:04:2013 ,80400.0,0.0,2400.0,0.0,0.0,0.0,1,1.0,3900.0,33
02:05:2013 ,82801.0,0.0,2399.0,0.0,0.0,0.0,3,1.0,3900.0,33
03:04:2013 ,78000.0,0.0,8400.0,1200.0,0.0,0.0,2,0.0,7800.0,33
03:05:2013 ,69600.0,0.0,18000.0,0.0,0.0,0.0,4,0.0,6000.0,33
04:04:2013 ,80397.0,0.0,4803.0,0.0,0.0,0.0,3,0.0,3900.0,33
04:05:2013 ,204933.0,0.0,1200.0,0.0,0.0,0.0,5,0.0,0.0,33
05:04:2013 ,75599.0,0.0,8400.0,3601.0,0.0,0.0,4,0.0,6000.0,33
06:04:2013 ,80401.0,0.0,9600.0,0.0,0.0,0.0,5,0.0,0.0,33
06:05:2013 ,50400.0,0.0,3600.0,0.0,0.0,0.0,0,1.0,7800.0,33
07:04:2013 ,74400.0,0.0,0.0,7199.0,0.0,0.0,-1,0.0,0.0,33
07:05:2013 ,77567.0,0.0,11400.0,1804.0,598.0,0.0,1,0.0,3900.0,33
08:04:2013 ,84000.0,0.0,3600.0,0.0,0.0,0.0,0,1.0,7800.0,33
08:05:2013 ,70800.0,0.0,10200.0,1200.0,0.0,0.0,2,0.0,7800.0,33
09:04:2013 ,80400.0,0.0,4800.0,0.0,0.0,0.0,1,0.0,3900.0,33
09:05:2013 ,46800.0,0.0,0.0,0.0,0.0,46803.0,3,1.0,3900.0,33
10:04:2013 ,26400.0,0.0,8400.0,1200.0,0.0,52800.0,2,0.0,7800.0,33
10:05:2013 ,60601.0,1199.0,17397.0,0.0,0.0,0.0,4,0.0,6000.0,33
11:04:2013 ,81600.0,0.0,2400.0,0.0,0.0,0.0,3,1.0,3900.0,33
11:05:2013 ,165001.0,0.0,0.0,0.0,0.0,12600.0,5,0.0,0.0,33
12:04:2013 ,74400.0,0.0,3600.0,10800.0,0.0,0.0,4,1.0,6000.0,33
13:04:2013 ,69600.0,0.0,1200.0,4800.0,0.0,8400.0,5,0.0,0.0,33
13:05:2013 ,77399.0,0.0,3000.0,0.0,0.0,0.0,0,1.0,7800.0,33
14:04:2013 ,69600.0,7200.0,0.0,9908.0,0.0,0.0,-1,0.0,0.0,33
14:05:2013 ,82302.0,0.0,2298.0,0.0,0.0,0.0,1,1.0,3900.0,33
15:04:2013 ,84000.0,0.0,3600.0,0.0,0.0,0.0,0,1.0,7800.0,33
15:05:2013 ,87001.0,0.0,599.0,0.0,0.0,0.0,2,1.0,7800.0,33
16:04:2013 ,75600.0,0.0,6000.0,3600.0,0.0,0.0,1,0.0,3900.0,33
16:05:2013 ,79467.0,0.0,8400.0,0.0,0.0,933.0,3,0.0,3900.0,33
17:04:2013 ,61198.0,0.0,27604.0,0.0,0.0,0.0,2,0.0,7800.0,33
17:05:2013 ,20056.0,0.0,0.0,0.0,0.0,0.0,4,1.0,6000.0,33
18:04:2013 ,68399.0,0.0,8398.0,7201.0,0.0,0.0,3,0.0,3900.0,33
19:04:2013 ,84001.0,0.0,0.0,1200.0,2399.0,0.0,4,1.0,6000.0,33
20:04:2013 ,97199.0,0.0,1200.0,3601.0,0.0,0.0,5,0.0,0.0,33
21:04:2013 ,86400.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,33
22:04:2013 ,62368.0,0.0,2433.0,5999.0,0.0,0.0,0,1.0,7800.0,33
23:04:2013 ,80498.0,0.0,4702.0,0.0,0.0,0.0,1,0.0,3900.0,33
24:04:2013 ,76295.0,0.0,4800.0,9600.0,0.0,0.0,2,1.0,7800.0,33
25:04:2013 ,81963.0,0.0,0.0,0.0,0.0,0.0,3,1.0,3900.0,33
26:04:2013 ,75595.0,0.0,13201.0,1200.0,0.0,0.0,4,0.0,6000.0,33
27:04:2013 ,85200.0,0.0,0.0,2400.0,0.0,0.0,5,0.0,0.0,33
28:04:2013 ,92336.0,7199.0,0.0,6006.0,0.0,0.0,-1,0.0,0.0,33
29:04:2013 ,58927.0,0.0,3600.0,1131.0,0.0,0.0,0,1.0,7800.0,33
30:03:2013 ,93600.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,33
30:04:2013 ,79200.0,0.0,2400.0,3600.0,0.0,0.0,1,1.0,3900.0,33
31:03:2013 ,1200.0,68400.0,0.0,0.0,0.0,16800.0,-1,0.0,0.0,33
