date,level
 01:04:2013 ,1.75
 01:05:2013 ,1.2222222222222223
 02:04:2013 ,1.0
 02:05:2013 ,1.5
 03:04:2013 ,1.0
 04:04:2013 ,1.0
 05:04:2013 ,1.0
 05:05:2013 ,3.0
 06:04:2013 ,1.6666666666666667
 07:04:2013 ,1.0
 07:05:2013 ,2.0
 08:04:2013 ,1.0
 09:04:2013 ,1.0
 09:05:2013 ,2.0
 10:04:2013 ,2.0
 10:05:2013 ,2.0
 11:04:2013 ,2.0
 12:04:2013 ,2.0
 13:04:2013 ,2.0
 14:04:2013 ,2.0
 15:04:2013 ,2.5
 16:04:2013 ,2.0
 17:04:2013 ,2.0
 18:04:2013 ,2.0
 19:04:2013 ,3.0
 20:05:2013 ,2.0
 21:04:2013 ,2.0
 22:04:2013 ,3.0
 23:04:2013 ,2.0
 23:05:2013 ,2.0
 24:04:2013 ,2.0
 24:05:2013 ,2.0
 25:04:2013 ,3.0
 26:04:2013 ,2.6666666666666665
 27:03:2013 ,2.75
 27:04:2013 ,2.5
 28:03:2013 ,2.0
 29:03:2013 ,1.8
 29:04:2013 ,2.0
 30:03:2013 ,2.0
 30:04:2013 ,2.0
 31:03:2013 ,1.0
