date,level
 01:04:2013 ,4.5
 03:04:2013 ,1.3333333333333333
 03:06:2013 ,1.0
 04:04:2013 ,2.5
 05:04:2013 ,2.6666666666666665
 06:04:2013 ,1.0
 07:04:2013 ,5.0
 07:05:2013 ,1.0
 07:08:2013 ,1.0
 08:04:2013 ,3.0
 08:08:2013 ,3.0
 09:04:2013 ,3.0
 09:05:2013 ,3.3333333333333335
 10:04:2013 ,1.0
 10:08:2013 ,1.0
 13:04:2013 ,2.0
 15:04:2013 ,3.0
 15:05:2013 ,4.0
 16:04:2013 ,3.0
 16:05:2013 ,2.5
 16:08:2013 ,2.0
 17:04:2013 ,3.0
 17:05:2013 ,4.0
 18:04:2013 ,4.0
 18:05:2013 ,4.0
 20:05:2013 ,1.0
 21:05:2013 ,2.0
 22:05:2013 ,1.0
 23:04:2013 ,1.0
 23:05:2013 ,1.0
 24:05:2013 ,1.0
 25:05:2013 ,1.8
 26:03:2013 ,2.0
 26:04:2013 ,1.0
 27:03:2013 ,1.0
 27:04:2013 ,1.0
 28:03:2013 ,1.0
 29:03:2013 ,2.857142857142857
 29:04:2013 ,1.5
 30:03:2013 ,3.0
 30:04:2013 ,3.0
