,tnv,distance,velocity,accelerate,week_date,date,hour in date,min in date,latitude,longitude,time,moving,active,time_difference,address,type,address_type,hall,nation,count
508,3,0.8373007145998201,0.0006977505954998,5.814588295832084e-07,3,27:03:2013 ,20,36,43.707114,-72.2932862,1364391397,False,0.0,,"Dartmouth College, Downing Road, Hanover, Grafton County, New Hampshire, 03755, United States",university,amenity,Dartmouth College,us,115.0
479,3,32.32532002340928,0.0269153372384756,2.241077205535027e-05,3,27:03:2013 ,20,56,43.7068785,-72.2866371,1364392598,True,1.0,1201.0,"Sudikoff Hall, 9, Maynard Street, Hanover, Grafton County, New Hampshire, 03755, United States",university,building,Sudikoff Hall,us,1.0
1030,3,284.88685777401366,0.2376037179099363,0.0001981682384569,3,27:03:2013 ,21,16,43.708954,-72.2840097,1364393797,True,1.0,1199.0,"Life Sciences Greenhouse, 78, College Street, Hanover, Grafton County, New Hampshire, 03755, United States",house,place,Life Sciences Greenhouse,us,25.0
1079,3,14.5908453859828,0.0121590378216523,1.0132531518043612e-05,3,27:03:2013 ,21,56,43.7088824,-72.2838562,1364396197,False,0.0,2400.0,"Class of 1978 Life Sciences Center, 78, College Street, Hanover, Grafton County, New Hampshire, 03755, United States",university,building,Class of 1978 Life Sciences Center,us,5.0
495,3,829.2629842201864,0.3455262434250776,0.0001439692680937,3,27:03:2013 ,22,36,43.702841,-72.290015,1364398597,True,1.0,2400.0,"Dartmouth College, Downing Road, Hanover, Grafton County, New Hampshire, 03755, United States",university,amenity,Dartmouth College,us,9.0
623,3,1.400110416079069,0.0011667586800658,9.72298900054909e-07,4,28:03:2013 ,2,36,43.7028227,-72.2899973,1364412997,False,0.0,14400.0,"Collis Student Center, 2, North Main Street, Hanover, Grafton County, New Hampshire, 03755, United States",university,building,Collis Student Center,us,50.0
429,3,535.6324348185532,0.4463603623487943,0.0003719669686239,4,28:03:2013 ,2,56,43.7067249,-72.2872484,1364414197,True,1.0,1200.0,"Sudikoff Hall, 9, Maynard Street, Hanover, Grafton County, New Hampshire, 03755, United States",university,building,Sudikoff Hall,us,6.0
435,3,1.7569628094442675,0.0014641356745368,1.2201130621140747e-06,4,28:03:2013 ,3,16,43.7067121,-72.2925372,1364415397,False,0.0,1200.0,"Dartmouth College, Downing Road, Hanover, Grafton County, New Hampshire, 03755, United States",university,amenity,Dartmouth College,us,12.0
509,3,53.230426583693,0.0443586888197441,3.696557401645347e-05,4,28:03:2013 ,3,36,43.7070999,-72.2933089,1364416597,True,1.0,1200.0,"Dartmouth College, Downing Road, Hanover, Grafton County, New Hampshire, 03755, United States",university,amenity,Dartmouth College,us,115.0
743,3,0.8784794126732,0.0007320661772276,6.100551476897222e-07,4,28:03:2013 ,5,36,43.7071255,-72.2932855,1364423797,False,0.0,7200.0,"Dartmouth College, Downing Road, Hanover, Grafton County, New Hampshire, 03755, United States",university,amenity,Dartmouth College,us,117.0
