,tnv,distance,velocity,accelerate,week_date,date,hour in date,min in date,latitude,longitude,time,moving,active,time_difference,address,type,address_type,hall,nation,count
266,46,0.0,0.0,0.0,4,28:03:2013 ,1,57,43.7066051,-72.2870424,1364410654,False,0.0,,"Dartmouth College, College Street, Hanover, Grafton County, New Hampshire, 03755, United States",university,amenity,Dartmouth College,us,59.0
326,46,1.4824382864678995,0.0012363955683635,1.0311889644399938e-06,2,02:04:2013 ,5,5,43.7066032,-72.2870255,1364853942,False,0.0,443288.0,"Dartmouth College, College Street, Hanover, Grafton County, New Hampshire, 03755, United States",university,amenity,Dartmouth College,us,16.0
420,46,1547.8362116434014,0.0496069550555541,1.5898645937938007e-06,2,02:04:2013 ,13,45,43.71788,-72.3068024,1364885144,True,1.0,31202.0,"24, Cliff Street, Norwich, Windsor County, Vermont, 05055, United States",yes,building,,us,7.0
456,46,16.566576552633965,0.0138054804605283,1.1504567050440253e-05,2,02:04:2013 ,14,25,43.7178864,-72.3067467,1364887542,False,0.0,2398.0,"24, Cliff Street, Norwich, Windsor County, Vermont, 05055, United States",yes,building,,us,6.0
91,46,76.14869824878737,0.0634044115310469,5.2793015429681046e-05,2,02:04:2013 ,14,45,43.7173316,-72.3076646,1364888743,True,1.0,1201.0,"18, Hazen Street, Norwich, Windsor County, Vermont, 05055, United States",yes,building,,us,9.0
92,46,0.9745068896665232,0.0002706963582407,7.519343284463916e-08,2,02:04:2013 ,18,25,43.7173864,-72.3074662,1364901942,False,0.0,13199.0,"18, Hazen Street, Norwich, Windsor County, Vermont, 05055, United States",yes,building,,us,9.0
342,46,31.362631832475653,0.0087118421756876,2.419956159913245e-06,2,02:04:2013 ,19,25,43.7176149,-72.3071063,1364905542,True,1.0,3600.0,"24, Cliff Street, Norwich, Windsor County, Vermont, 05055, United States",yes,building,,us,7.0
167,46,4.941150759362775,0.0041176256328023,3.4313546940019262e-06,2,02:04:2013 ,22,5,43.717802,-72.3068472,1364915142,False,0.0,9600.0,"24, Cliff Street, Norwich, Windsor County, Vermont, 05055, United States",yes,building,,us,99.0
93,46,63.20562884042259,0.0013167839341754,2.7432998628655642e-08,3,03:04:2013 ,11,25,43.7173415,-72.3075602,1364963142,True,1.0,48000.0,"18, Hazen Street, Norwich, Windsor County, Vermont, 05055, United States",yes,building,,us,9.0
168,46,52.91156362923168,0.0440929696910264,3.6744141409188666e-05,3,03:04:2013 ,11,45,43.717727,-72.3067844,1364964342,True,1.0,1200.0,"24, Cliff Street, Norwich, Windsor County, Vermont, 05055, United States",yes,building,,us,99.0
169,46,5.6411458370968575,0.0047009548642473,3.917462386872818e-06,3,03:04:2013 ,20,45,43.7178039,-72.3067679,1364996742,False,0.0,32400.0,"24, Cliff Street, Norwich, Windsor County, Vermont, 05055, United States",yes,building,,us,99.0
76,46,1319.6933280805497,0.0499883836394147,1.8934993802808624e-06,4,04:04:2013 ,4,5,43.7081892,-72.2851601,1365023142,True,1.0,26400.0,"Anonymous Hall, 64, College Street, Hanover, Grafton County, New Hampshire, 03755, United States",university,building,Anonymous Hall,us,15.0
