date,home_time,school_time,recreational_activities,orthers,travel_time,date_in_week,volunteer,location_names
01:04:2013,51601.0,4800.0,0.0,0.0,0.0,0,21,"Anonymous Hall,0,0,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,0,0"
01:05:2013,365954.0,7201.0,0.0,0.0,0.0,2,21,"Webster Hall,Dartmouth College,Dartmouth College,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,0,0,0"
02:04:2013,83850.0,2401.0,1200.0,0.0,0.0,1,21,"0,Dartmouth College,Dartmouth College,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Berry Library,0,0,0"
03:04:2013,91348.0,4800.0,1200.0,2400.0,0.0,2,21,"Ripley Hall,0,0,0,0,Dartmouth College,Berry Library,0,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,0"
04:04:2013,3600.0,3600.0,56400.0,0.0,0.0,3,21,"Berry Library,Berry Library,Alumni Gymnasium,Alumni Gymnasium,Alumni Gymnasium,0,Dartmouth College,Berry Library,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center"
05:04:2013,102000.0,0.0,0.0,1200.0,0.0,4,21,"0,0,0,0,0,0,0"
05:05:2013,223200.0,2400.0,0.0,0.0,0.0,-1,21,"Sanborn House,0"
06:04:2013,99600.0,0.0,0.0,0.0,0.0,5,21,"0,0,0,0,0,0"
07:04:2013,99600.0,0.0,0.0,0.0,0.0,-1,21,"0,0,0,0,0"
08:04:2013,127200.0,3600.0,0.0,0.0,1200.0,0,21,"0,Dana Circle Parking Lot,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,0"
08:05:2013,259459.0,3594.0,0.0,0.0,0.0,2,21,"0,Sudikoff Hall,0"
10:04:2013,140404.0,11998.0,13199.0,0.0,0.0,2,21,"0,Wilder Hall,Wilder Hall,0,0,0,0,Collis Student Center,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Berry Library,0,0,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,0"
11:04:2013,4799.0,0.0,0.0,0.0,0.0,3,21,"0,Life Sciences Greenhouse,Life Sciences Greenhouse"
11:05:2013,88800.0,0.0,0.0,0.0,0.0,5,21,"0,0,Dartmouth College,Dartmouth College,0"
12:04:2013,104402.0,10799.0,0.0,0.0,1199.0,4,21,"0,Moore Psychology Building,0,Life Sciences Greenhouse,0,0"
12:05:2013,348793.0,0.0,0.0,0.0,0.0,-1,21,Dartmouth College
13:04:2013,111739.0,14400.0,0.0,0.0,0.0,5,21,"0,Sarner Underground,South Fairbanks,0"
14:04:2013,421909.0,15600.0,0.0,0.0,0.0,-1,21,"Sarner Underground,0"
16:05:2013,95449.0,0.0,0.0,0.0,0.0,3,21,"0,Dartmouth College,0"
17:05:2013,74400.0,0.0,0.0,0.0,0.0,4,21,"0,0"
18:05:2013,172599.0,4799.0,0.0,0.0,0.0,5,21,"Dartmouth College,Dartmouth College,Parker House,Sudikoff Hall,Parker House,Parker House,0,Dartmouth College,0"
19:04:2013,50102.0,0.0,0.0,0.0,0.0,4,21,Life Sciences Greenhouse
20:04:2013,121207.0,0.0,0.0,0.0,0.0,5,21,0
20:05:2013,20401.0,19199.0,0.0,0.0,0.0,0,21,"Dartmouth College,Dartmouth College,0,Dartmouth College,Dartmouth Hall,Hallgarten Hall,Topliff Hall,0"
21:04:2013,188401.0,0.0,0.0,0.0,0.0,-1,21,"0,0"
24:04:2013,87599.0,8399.0,7201.0,0.0,0.0,2,21,"Sudikoff Hall,0,0,0,Dartmouth College,Berry Library,Dartmouth College,0,0"
25:04:2013,69600.0,0.0,0.0,0.0,0.0,3,21,"Dartmouth College,0,0,Life Sciences Greenhouse,Life Sciences Greenhouse"
26:04:2013,95950.0,7200.0,0.0,0.0,0.0,4,21,"Sudikoff Hall,Sudikoff Hall,0,Life Sciences Greenhouse,Life Sciences Greenhouse,0"
27:04:2013,75743.0,3507.0,0.0,0.0,0.0,5,21,"Ripley Hall,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College,Dartmouth College,0,0,Dartmouth College,Dartmouth College,Dartmouth College"
28:04:2013,78000.0,10800.0,13200.0,0.0,0.0,-1,21,"Sudikoff Hall,Dartmouth College,Berry Library,Dartmouth College,Berry Library,Berry Library,Dartmouth College,0"
29:04:2013,74419.0,2382.0,0.0,0.0,0.0,0,21,"Sudikoff Hall,Sudikoff Hall,Berry Hall,0"
30:04:2013,68398.0,3602.0,0.0,3599.0,0.0,1,21,"0,0,0,Sudikoff Hall,Sudikoff Hall,Dartmouth College,0,0"
