date,home_time,orthers,recreational_activities,school_time,travel_time,working,shopping,date_in_week,volunteer,location_names
01:04:2013,28801.0,1198.0,2400.0,43199.0,3600.0,0.0,0.0,0,60,"0,Hopkins Center for the Arts,Hopkins Center for the Arts,Robinson Hall,Butterfield Hall,Wentworth Hall,Dana Circle Parking Lot,Class of 1978 Life Sciences Center,Class of 1953 Commons,Class of 1953 Commons,Robinson Hall"
01:05:2013,57600.0,0.0,0.0,25201.0,0.0,0.0,0.0,2,60,"Robinson Hall,Russell Sage Hall,Class of 1953 Commons,Class of 1953 Commons,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Butterfield Hall,Class of 1953 Commons"
01:06:2013,3602.0,0.0,1198.0,0.0,0.0,0.0,0.0,5,60,"Russell Sage Hall,Butterfield Hall,Butterfield Hall,Hood Museum of Art,Hood Museum of Art"
02:04:2013,45600.0,0.0,4799.0,46802.0,0.0,0.0,0.0,1,60,"Robinson Hall,Dartmouth College,Dartmouth College,Robinson Hall,Russell Sage Hall,Haldeman Center,Haldeman Center,Class of 1953 Commons,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Alumni Gymnasium,Alumni Gymnasium,Dartmouth College,Butterfield Hall,Wentworth Hall,Robinson Hall"
02:05:2013,63100.0,0.0,4798.0,16960.0,1197.0,0.0,0.0,3,60,"Class of 1953 Commons,Dartmouth College,Berry Library,Berry Library,Dartmouth College,Mass Parking Lot,Class of 1953 Commons,Dartmouth College,Butterfield Hall,Russell Sage Hall,Dartmouth College,Dartmouth College,Dartmouth College,Butterfield Hall,Webster Hall,Wentworth Hall,Dartmouth College,Collis Student Center,Collis Student Center,Collis Student Center,Life Sciences Greenhouse,Life Sciences Greenhouse"
03:04:2013,51601.0,0.0,1199.0,21600.0,0.0,0.0,0.0,2,60,"Russell Sage Hall,Butterfield Hall,Butterfield Hall,Class of 1953 Commons,Russell Sage Hall,Butterfield Hall,Berry Library,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Dartmouth College,Dartmouth College,Class of 1953 Commons,Class of 1953 Commons,Class of 1953 Commons"
03:05:2013,83209.0,0.0,1198.0,20485.0,0.0,0.0,0.0,4,60,"Baker Memorial Library,Dartmouth College,Dartmouth College,Robinson Hall,Butterfield Hall,Butterfield Hall,Russell Sage Hall,Class of 1953 Commons,Class of 1953 Commons,Russell Sage Hall,Dartmouth College,Wentworth Hall,Anonymous Hall,Life Sciences Greenhouse,Life Sciences Greenhouse,Collis Student Center,Butterfield Hall"
04:04:2013,62397.0,0.0,8401.0,15601.0,0.0,0.0,0.0,3,60,"North Fairbanks,Baker Memorial Library,Baker Memorial Library,Dartmouth College,Dartmouth College,Robinson Hall,Dartmouth College,Class of 1953 Commons,Class of 1953 Commons,Robinson Hall,Latin American, Latino/a, and Caribbean House,Dartmouth College,Berry Library,Berry Library,Dartmouth College,Dartmouth College,Berry Library,Dartmouth College,Butterfield Hall,Wentworth Hall,Russell Sage Hall,Butterfield Hall,Russell Sage Hall,Class of 1953 Commons,Butterfield Hall,Butterfield Hall"
04:05:2013,74855.0,0.0,0.0,9598.0,1200.0,0.0,0.0,5,60,"Class of 1953 Commons,Dartmouth College,Butterfield Hall,Dana Parking Lot,Butterfield Hall,Russell Sage Hall,Dartmouth College,Collis Student Center,Butterfield Hall"
05:04:2013,19876.0,0.0,0.0,66524.0,0.0,0.0,0.0,4,60,"Dartmouth College,Dartmouth College,Richardson Hall,Robinson Hall,Sudikoff Hall,Sudikoff Hall,Butterfield Hall,Sudikoff Hall,Butterfield Hall,Sudikoff Hall,Butterfield Hall,Sudikoff Hall,Butterfield Hall,Sudikoff Hall,Class of 1953 Commons,Sudikoff Hall,Class of 1953 Commons,Sudikoff Hall,Class of 1953 Commons,Sudikoff Hall,Class of 1953 Commons,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Robinson Hall,Sudikoff Hall,Robinson Hall,Sudikoff Hall,Robinson Hall,Sudikoff Hall,Robinson Hall,Sudikoff Hall,Robinson Hall,Sudikoff Hall,Robinson Hall,Sudikoff Hall,Robinson Hall,Sudikoff Hall,Robinson Hall,Sudikoff Hall,Robinson Hall,Sudikoff Hall,Robinson Hall,Butterfield Hall,Wentworth Hall,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Sudikoff Hall,Life Sciences Greenhouse,Sudikoff Hall,Class of 1953 Commons,Sudikoff Hall,Class of 1953 Commons,Sudikoff Hall,Class of 1953 Commons,Sudikoff Hall,Robinson Hall,Sudikoff Hall,Robinson Hall,Sudikoff Hall,Robinson Hall"
05:05:2013,55201.0,0.0,5999.0,8400.0,0.0,0.0,0.0,-1,60,"Hanover Inn Dartmouth,Hanover Inn Dartmouth,Hopkins Center for the Arts,Class of 1953 Commons,Butterfield Hall"
