date,home_time,school_time,travel_time,recreational_activities,date_in_week,volunteer,location_names
01:04:2013,110158.0,3608.0,1203.0,0.0,0,24,"0,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Dana Circle Parking Lot,Dartmouth College,0"
01:05:2013,102320.0,0.0,1200.0,0.0,2,24,"Vail Dartmouth Medical School,Life Sciences Greenhouse,Life Sciences Greenhouse,0"
02:05:2013,204000.0,4800.0,0.0,0.0,3,24,"Sudikoff Hall,Sudikoff Hall,0"
03:04:2013,139412.0,1200.0,0.0,0.0,2,24,"Dartmouth College,Dartmouth College,0,0,Hanover High School,0,0"
04:04:2013,81601.0,4799.0,0.0,0.0,3,24,"Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Sudikoff Hall,0"
05:04:2013,170400.0,3600.0,1200.0,0.0,4,24,"Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Dana Circle Parking Lot,0"
05:05:2013,447600.0,0.0,0.0,0.0,-1,24,"0,0"
07:04:2013,84708.0,0.0,0.0,0.0,-1,24,"Dartmouth College,Dartmouth College,0"
08:04:2013,148800.0,21600.0,1200.0,0.0,0,24,"Dana Circle Parking Lot,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,0"
10:04:2013,170472.0,3528.0,0.0,0.0,2,24,"Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,0"
10:05:2013,97200.0,0.0,0.0,0.0,4,24,"0,Life Sciences Greenhouse,Life Sciences Greenhouse,0"
11:05:2013,36001.0,1200.0,0.0,0.0,5,24,"0,0,Dartmouth College"
12:04:2013,22800.0,42000.0,0.0,0.0,4,24,"Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,0,0,0,Dartmouth College,0,Sudikoff Hall"
12:05:2013,43200.0,0.0,0.0,2399.0,-1,24,"Hopkins Center for the Arts,Hopkins Center for the Arts,0,0"
13:04:2013,643202.0,0.0,0.0,0.0,5,24,0
20:04:2013,69599.0,0.0,0.0,0.0,5,24,"Bildner Hall,Dartmouth College,Dartmouth College,0,0,0,0"
21:04:2013,79199.0,6000.0,0.0,0.0,-1,24,"0,0,0,Sudikoff Hall,Sudikoff Hall,0,0"
22:04:2013,97200.0,2400.0,0.0,0.0,0,24,"Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Sudikoff Hall,0,0,Dartmouth College,Dartmouth College,0"
23:04:2013,0.0,24000.0,0.0,0.0,1,24,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall"
24:04:2013,321600.0,0.0,0.0,0.0,2,24,0
27:04:2013,18000.0,0.0,0.0,0.0,5,24,Dartmouth College
28:03:2013,81600.0,4800.0,0.0,0.0,3,24,"Dartmouth College,Dartmouth College,Dartmouth College,0,0,0,0,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center"
28:04:2013,98343.0,0.0,0.0,0.0,-1,24,0
29:03:2013,92400.0,3600.0,0.0,0.0,4,24,"0,0,0,0,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,0"
29:04:2013,92461.0,9596.0,0.0,0.0,0,24,"Dartmouth College,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,0,Life Sciences Greenhouse,Life Sciences Greenhouse"
30:03:2013,223200.0,0.0,0.0,0.0,5,24,"Dartmouth College,Dartmouth College,0"
30:04:2013,114001.0,0.0,0.0,0.0,1,24,0
