date,home_time,travel_time,date_in_week,volunteer,location_names
03:04:2013,67200.0,6000.0,2,40,"Dartmouth College,North Main Street,Dartmouth College,Dartmouth College,Dartmouth College"
04:04:2013,90000.0,0.0,3,40,"Dartmouth College,Dartmouth College,Dartmouth College,Berry Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
05:04:2013,98400.0,0.0,4,40,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Berry Hall,Dartmouth College"
06:04:2013,73200.0,0.0,5,40,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Berry Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Berry Hall,Dartmouth College,Dartmouth College"
07:04:2013,274523.0,0.0,-1,40,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
10:04:2013,16808.0,80398.0,2,40,"Dartmouth College,Dartmouth College,Dartmouth College,North Main Street,0,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,0,North Main Street,North Main Street"
11:04:2013,200061.0,0.0,3,40,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
13:04:2013,1200.0,57600.0,5,40,"North Main Street,North Main Street,North Main Street,North Main Street,0,North Main Street"
14:04:2013,6000.0,69600.0,-1,40,"North Main Street,0,North Main Street,North Main Street,North Main Street"
15:04:2013,0.0,88800.0,0,40,"North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street"
16:04:2013,18000.0,62400.0,1,40,"Dartmouth College,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street"
17:04:2013,9600.0,145200.0,2,40,"Dartmouth College,North Main Street,0,North Main Street"
18:04:2013,2400.0,0.0,3,40,0
19:04:2013,3600.0,97200.0,4,40,"North Main Street,North Main Street,0,North Main Street,North Main Street,0,0,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street"
20:04:2013,6000.0,70800.0,5,40,"North Main Street,North Main Street,North Main Street,0,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street"
21:04:2013,1200.0,126000.0,-1,40,"North Main Street,0,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street"
22:04:2013,0.0,90000.0,0,40,"North Main Street,North Main Street,North Main Street,North Main Street,North Main Street"
23:04:2013,0.0,114000.0,1,40,"North Main Street,North Main Street,North Main Street,North Main Street"
24:04:2013,0.0,14400.0,2,40,"North Main Street,North Main Street"
25:04:2013,0.0,73205.0,3,40,"North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street"
28:03:2013,102679.0,0.0,3,40,Dartmouth College
29:03:2013,1203.0,71997.0,4,40,"Dartmouth College,0"
30:03:2013,0.0,351816.0,5,40,North Main Street
